# timestamps [seconds],pts
24.336764,1450632
24.373843,1453062
24.427512,1456579
24.459188,1458655
24.491832,1460794
24.529972,1463294
24.569823,1465905
24.611089,1468610
24.655036,1471490
24.694617,1474084
24.731406,1476495
24.776459,1479447
24.819251,1482252
24.855052,1484598
24.896979,1487346
24.939239,1490115
24.979023,1492722
25.014243,1495031
25.062332,1498182
25.088333,1499886
25.129302,1502571
25.178284,1505781
25.212711,1508037
25.255680,1510853
25.298058,1513630
25.333581,1515958
25.369481,1518311
25.415774,1521345
25.454262,1523867
25.497979,1526732
25.537785,1529341
25.574576,1531752
25.619508,1534697
25.657645,1537196
25.701759,1540087
25.730903,1541997
25.771917,1544685
25.809854,1547171
25.848191,1549683
25.894969,1552749
25.933842,1555296
25.981467,1558418
26.017309,1560766
26.060054,1563568
26.101098,1566258
26.139126,1568750
26.182979,1571624
26.221534,1574150
26.264231,1576948
26.300928,1579353
26.332686,1581435
26.372892,1584070
26.411945,1586629
26.458430,1589675
26.498139,1592278
26.538891,1594948
26.582375,1597798
26.619653,1600241
26.664391,1603173
26.703039,1605706
26.742940,1608321
26.783501,1610979
26.825090,1613704
26.864957,1616317
26.904367,1618900
26.937651,1621081
26.975339,1623551
27.016517,1626250
27.059770,1629084
27.094598,1631367
27.138912,1634271
27.180801,1637016
27.215273,1639275
27.255256,1641895
27.303034,1645026
27.341711,1647561
27.385171,1650409
27.422331,1652845
27.463012,1655511
27.504972,1658260
27.541004,1660622
27.573053,1662722
27.616585,1665575
27.652455,1667926
27.694241,1670664
27.736393,1673427
27.776348,1676045
27.815089,1678584
27.859476,1681493
27.895837,1683876
27.938853,1686695
27.981488,1689489
28.018061,1691886
28.058951,1694565
28.104005,1697518
28.140142,1699886
28.172809,1702027
28.212514,1704629
28.251738,1707200
28.299198,1710310
28.338383,1712878
28.379095,1715546
28.417868,1718087
28.463640,1721087
28.502733,1723649
28.541859,1726213
28.584357,1728998
28.622435,1731493
28.659072,1733894
28.711530,1737332
28.741833,1739318
28.778561,1741725
28.813139,1743991
28.853661,1746647
28.891503,1749127
28.934464,1751942
28.983028,1755125
29.023346,1757767
29.063022,1760367
29.100412,1762818
29.150617,1766108
29.175891,1767764
29.224821,1770971
29.257870,1773137
29.298505,1775800
29.339483,1778485
29.377998,1781009
29.414674,1783413
29.454387,1786015
29.495150,1788687
29.533177,1791179
29.577380,1794076
29.619220,1796818
29.663845,1799742
29.701352,1802200
29.744150,1805005
29.782249,1807502
29.821777,1810092
29.857910,1812460
29.904210,1815495
29.943857,1818093
29.982423,1820620
30.028427,1823635
30.059512,1825672
30.093101,1827873
30.131199,1830370
30.179705,1833549
30.217395,1836019
30.264478,1839105
30.299063,1841371
30.338332,1843945
30.382908,1846866
30.422286,1849447
30.456132,1851665
30.501592,1854644
30.545433,1857517
30.583790,1860031
30.625744,1862780
30.664777,1865338
30.698048,1867519
30.736731,1870054
30.772605,1872405
30.813619,1875093
30.857031,1877938
30.901756,1880869
30.943613,1883612
30.983254,1886210
31.021519,1888717
31.063428,1891464
31.103209,1894071
31.144550,1896780
31.182898,1899293
31.222583,1901894
31.259607,1904320
31.291608,1906418
31.333548,1909166
31.373519,1911786
31.418384,1914726
31.462065,1917589
31.502178,1920217
